"id","description","id.1","label","id.2","label.1","id.3","label.2","id.4","label.3","id.5","label.4","id.6","label.5","id.7","label.6","id.8","label.7","id","label"
"","","ITF3","Campania","","","","","","","","","GHC","Ghana Cedi (old)","","","","","",""
"","","ITF4","Apulia","","","","","","","","","GHS","Ghana Cedi","","","","","",""
"","","ITF5","Basilicata ","","","","","","","","","GIP","Gibraltar Pound","","","","","",""
"","","ITF6","Calabria","","","","","","","","","GMD","Dalasi","","","","","",""
"","","ITG1","Sicily","","","","","","","","","GNF","Guinea Franc","","","","","",""
"","","ITG2","Sardinia","","","","","","","","","GRD","Greek Drachma","","","","","",""
"","","ITH1","Province of Bolzano-Bozen","","","","","","","","","GTQ","Quetzal","","","","","",""
"","","ITH2","Province of Trento","","","","","","","","","GWP","Guinea-Bissau Peso","","","","","",""
"","","ITH3","Veneto","","","","","","","","","GYD","Guyana Dollar","","","","","",""
"","","ITH4","Friuli-Venezia Giulia","","","","","","","","","HKD","Hong Kong Dollar","","","","","",""
"","","ITH5","Emilia–Romagna","","","","","","","","","HNL","Lempira","","","","","",""
"","","ITI1","Tuscany","","","","","","","","","HRK","Croatian Kuna","","","","","",""
"","","ITI2","Umbria","","","","","","","","","HTG","Gourde","","","","","",""
"","","ITI3","Marche","","","","","","","","","HUF","Forint","","","","","",""
"","","ITI4","Lazio","","","","","","","","","IDR","Rupiah","","","","","",""
"","","JPN","Japan","","","","","","","","","IEP","Irish Pound","","","","","",""
"","","JPA","Hokkaido","","","","","","","","","ILS","New Israeli Sheqel","","","","","",""
"","","JPB","Tohoku","","","","","","","","","INR","Indian Rupee","","","","","",""
"","","JPC","Northern-Kanto, Koshin","","","","","","","","","IQD","Iraqi Dinar","","","","","",""
"","","JPD","Southern-Kanto","","","","","","","","","IRR","Iranian Rial","","","","","",""
"","","JPE","Hokuriku","","","","","","","","","ISK","Iceland Krona","","","","","",""
"","","JPF","Toukai","","","","","","","","","ITL","Italian Lira","","","","","",""
"","","JPG","Kansai region","","","","","","","","","JMD","Jamaican Dollar","","","","","",""
"","","JPH","Chugoku","","","","","","","","","JOD","Jordanian Dinar","","","","","",""
"","","JPI","Shikoku","","","","","","","","","JPY","Yen","","","","","",""
"","","JPJ","Kyushu, Okinawa","","","","","","","","","KES","Kenyan Shilling","","","","","",""
"","","KOR","Korea","","","","","","","","","KGS","Som","","","","","",""
"","","KR01","Capital Region (KR)","","","","","","","","","KHR","Riel","","","","","",""
"","","KR02","Gyeongnam Region","","","","","","","","","KMF","Comoro Franc","","","","","",""
